Renew,Figure,NumberApplicants,NumbWords,NumbChars,NumberOfClasses,product,appnumber
0,0,1,2,7,1,1,2996585
0,1,1,1,4,3,0,2996635
1,1,1,1,2,4,1,2996643
1,1,1,1,6,1,1,2996676
1,0,1,3,15,2,1,2996684
1,0,1,1,5,3,1,2996775
0,1,1,1,7,2,1,2996809
1,0,1,1,4,1,1,2996891
1,0,1,2,15,5,1,2996908
0,1,1,4,27,1,1,2996957
1,1,1,1,7,4,1,2997005
1,1,1,3,25,3,1,2997047
0,1,1,2,18,3,1,2997054
1,1,1,1,5,3,1,2997088
0,1,1,2,10,1,1,2997112
0,0,1,2,10,1,1,2997138
1,0,1,3,23,1,1,2997153
0,1,1,1,6,3,1,2997179
1,0,1,1,5,2,1,2997203
1,1,1,3,15,4,1,2997245
0,1,1,2,14,3,0,2997261
1,0,1,1,6,2,1,2997302
1,1,1,3,25,4,1,2997401
0,1,1,1,7,2,1,2997484
0,0,1,1,5,2,1,2997518
1,0,1,1,7,3,0,2997567
1,0,1,1,9,2,1,2997641
0,0,1,4,25,2,1,2997682
0,0,1,1,7,3,1,2997914
0,0,1,1,9,1,1,2997930
0,1,1,3,18,2,1,2997963
1,1,1,1,8,2,1,2998136
0,0,1,3,21,3,1,2998151
0,1,1,1,5,1,0,2998243
1,0,1,1,7,4,1,2998300
0,1,1,1,11,1,1,2998391
1,1,1,1,5,1,1,2998532
1,1,1,1,6,1,1,2998581
1,0,1,1,7,1,1,2998607
1,0,1,1,9,1,1,2998623
1,0,1,1,7,1,1,2998631
0,0,1,1,11,2,1,2998680
0,0,1,1,8,1,1,2998755
1,0,1,1,2,1,1,2998763
1,0,1,1,7,1,1,2998797
0,0,1,3,13,3,1,2998813
1,0,1,2,19,1,1,2998921
1,1,1,7,54,1,1,2998938
1,0,1,1,8,2,1,2998995
0,0,1,1,5,1,1,2999035
1,1,1,3,25,2,1,2999225
0,0,1,3,17,6,1,2999233
1,1,1,1,11,2,1,2999308
0,0,1,1,9,3,1,2999316
0,0,1,1,9,2,1,2999340
1,1,1,3,17,1,1,2999365
1,1,1,1,2,2,1,2999456
0,0,1,1,11,2,1,2999498
1,1,1,1,8,1,1,2999548
1,1,1,1,9,1,1,2999555
0,1,1,3,16,3,0,2999563
1,1,1,1,7,1,1,2999571
0,1,1,3,22,3,1,2999597
0,0,1,1,5,3,1,2999671
1,1,1,2,22,2,0,2999696
0,1,1,5,29,1,1,2999712
1,0,1,1,6,3,1,2999746
1,0,1,1,6,1,1,2999795
1,0,1,1,6,1,1,2999803
1,0,1,2,16,1,1,2999829
1,0,1,1,8,3,1,2999837
0,0,1,2,10,1,1,2999944
1,0,1,1,6,2,1,3000007
1,1,1,1,7,1,1,3000171
1,1,1,4,21,12,1,3000288
1,1,1,5,33,1,1,3000395
0,1,1,3,14,3,1,3000437
0,0,1,1,5,1,1,3000452
1,0,1,1,4,1,1,3000486
1,0,1,1,7,1,1,3000502
1,0,1,1,8,1,1,3000510
1,0,1,2,18,1,1,3000536
1,0,1,2,16,1,1,3000544
1,0,1,1,11,1,1,3000551
1,1,1,1,9,2,1,3000569
1,1,1,4,17,1,1,3000726
0,1,1,5,37,1,1,3000734
1,1,1,1,4,1,1,3000759
1,1,1,1,8,1,1,3000809
0,0,1,1,8,1,1,3000817
1,1,1,4,20,12,1,3000882
1,0,1,1,16,1,1,3000908
1,0,1,3,20,1,1,3000924
1,0,1,1,9,3,1,3000932
0,0,1,1,7,1,1,3000981
1,0,1,3,16,1,0,3000999
1,0,1,1,6,2,1,3001013
1,0,1,3,14,1,0,3001088
0,0,1,1,11,8,1,3001104
0,0,1,2,9,3,1,3001161
0,1,1,3,17,1,0,3001187
1,0,1,2,15,5,1,3001302
1,0,1,1,3,3,0,3001377
0,0,1,3,15,1,1,3001427
0,0,1,1,13,1,1,3001450
1,0,1,2,11,2,0,3001500
1,0,1,1,8,1,1,3001534
0,1,1,1,17,1,0,3001559
1,0,1,1,9,2,1,3001609
1,0,1,1,8,4,1,3001641
1,0,1,1,7,2,1,3001666
1,0,1,1,3,1,1,3001682
1,0,1,2,9,1,0,3001716
1,0,1,1,8,3,1,3001740
1,0,1,1,4,1,1,3001815
1,0,1,1,6,1,1,3001823
1,0,1,1,7,2,1,3001831
1,1,1,2,13,3,1,3001864
0,0,1,1,12,5,1,3001930
0,1,1,1,6,1,1,3002052
0,1,1,5,39,3,0,3002094
1,0,1,1,7,1,1,3002110
1,0,1,1,5,1,1,3002169
1,1,1,2,6,1,0,3002284
0,0,1,1,8,3,1,3002292
1,1,1,3,17,1,1,3002342
0,0,1,1,7,2,1,3002383
0,0,1,2,10,3,1,3002391
0,0,1,3,20,3,1,3002474
0,0,1,3,15,3,1,3002508
0,0,1,3,14,3,1,3002516
0,0,1,3,12,3,1,3002557
0,0,1,1,8,2,1,3002565
1,0,1,1,6,1,1,3002581
0,1,1,1,5,1,1,3002631
1,0,1,2,7,3,1,3002680
1,0,1,1,10,6,1,3002706
0,0,1,1,6,2,1,3002722
1,0,1,2,14,4,1,3002730
0,0,1,2,12,3,1,3002797
1,0,1,1,5,2,1,3002805
1,0,1,1,6,3,1,3002854
1,0,1,1,9,1,1,3002862
1,0,1,1,5,1,1,3002870
1,1,1,2,8,4,1,3002979
0,1,1,3,23,3,1,3003001
1,0,1,1,6,5,0,3003050
1,0,1,2,8,2,0,3003258
1,1,1,1,10,6,1,3003282
0,0,1,2,12,2,1,3003332
1,0,1,1,6,2,1,3003340
1,0,1,3,15,2,1,3003365
0,1,1,1,8,3,1,3003373
1,1,1,6,25,1,1,3003423
1,0,1,1,6,5,1,3003449
1,0,1,2,7,3,1,3003472
1,0,1,2,18,1,1,3003498
0,0,1,1,13,1,0,3003522
1,0,1,1,9,1,1,3003548
1,0,1,2,11,1,1,3003555
1,1,1,5,27,1,1,3003613
0,1,1,9,66,1,1,3003696
1,0,1,1,2,3,1,3003712
0,0,1,3,20,2,1,3003720
0,1,1,4,29,1,1,3003993
0,1,1,3,12,1,1,3004009
0,0,1,1,11,3,1,3004033
1,0,1,1,5,1,1,3004058
0,1,1,1,8,2,1,3004181
1,1,1,1,6,1,1,3004207
1,0,1,1,7,1,1,3004223
1,1,1,2,10,3,0,3004256
1,0,1,1,8,3,1,3004298
1,1,1,1,6,3,1,3004322
1,0,1,1,8,3,1,3004330
0,0,1,1,3,4,1,3004447
0,0,1,1,3,5,1,3004454
0,1,1,10,54,3,1,3004637
0,1,1,1,10,2,1,3004652
0,0,1,1,12,3,1,3004801
0,0,1,2,11,3,1,3004819
1,0,1,1,8,1,1,3004876
0,1,1,2,7,3,1,3004926
0,0,1,1,9,2,0,3004959
1,1,1,1,8,2,1,3005063
1,0,1,1,7,3,1,3005113
0,0,1,4,27,3,1,3005147
1,1,1,1,4,3,1,3005196
0,1,1,1,2,3,1,3005345
0,0,1,1,9,2,1,3005428
1,0,1,1,7,1,1,3005451
0,0,1,1,3,2,1,3005501
1,0,1,1,6,1,1,3005535
1,0,1,1,9,1,1,3005568
1,0,1,2,11,1,1,3005601
0,1,1,2,14,3,1,3005659
1,1,1,1,3,2,1,3005667
1,0,1,1,9,3,1,3005741
0,1,1,3,17,4,0,3005758
1,1,1,1,4,5,1,3005808
0,0,1,1,8,3,1,3005949
0,1,1,2,11,3,0,3005956
0,0,1,4,28,3,1,3006137
0,0,1,1,14,3,0,3006178
1,0,1,1,8,1,1,3006194
1,0,1,1,8,3,1,3006293
1,1,1,1,2,1,1,3006335
0,1,1,1,8,3,1,3006384
1,1,1,1,10,3,1,3006426
1,0,1,1,10,3,1,3006558
1,1,1,2,24,3,1,3006566
0,0,1,1,5,2,1,3006673
0,1,1,2,26,3,1,3006764
1,0,1,1,6,3,1,3006798
1,0,1,1,10,2,1,3006814
1,0,1,1,5,2,1,3006848
1,0,1,3,17,3,1,3006871
0,0,1,1,5,3,1,3006889
0,0,1,2,11,1,1,3006905
1,0,1,8,38,3,1,3006970
0,0,1,1,10,1,1,3007044
0,1,1,1,5,3,1,3007077
1,0,1,2,10,2,1,3007127
1,0,1,1,4,2,1,3007135
0,1,1,3,17,3,0,3007151
0,1,1,2,15,3,1,3007168
1,1,1,11,68,3,1,3007192
1,0,1,1,8,1,1,3007200
1,0,1,1,7,1,1,3007275
1,0,1,1,7,2,1,3007374
1,0,1,3,12,1,1,3007382
1,0,1,1,6,1,1,3007390
1,0,1,2,14,1,1,3007408
1,0,1,1,9,2,1,3007416
1,1,1,1,10,2,1,3007457
0,0,1,1,8,2,1,3007465
1,0,1,1,6,1,1,3007507
0,0,1,1,11,2,1,3007523
1,1,1,2,9,5,1,3007531
1,0,1,1,6,1,1,3007564
1,0,1,1,7,2,1,3007572
0,0,1,1,8,1,1,3007580
1,0,1,2,16,2,1,3007622
1,1,1,2,10,3,1,3007671
1,0,1,1,7,1,1,3007689
0,0,1,1,9,3,1,3007713
1,1,1,5,31,1,0,3007721
1,0,1,1,7,2,1,3007812
0,0,1,2,9,1,1,3007820
1,0,1,1,7,2,1,3007838
0,1,1,5,39,5,1,3007853
1,0,1,1,7,1,1,3007879
0,0,1,1,5,2,1,3007929
1,0,1,1,6,1,0,3007952
1,1,1,1,6,1,0,3007960
1,0,1,1,8,8,1,3008034
1,1,1,1,5,1,1,3008067
1,0,1,1,8,2,1,3008109
1,1,1,1,9,1,0,3008208
1,0,1,1,7,1,1,3008406
1,0,1,1,9,1,1,3008448
0,0,1,2,21,1,1,3008455
0,1,1,1,5,1,1,3008505
0,0,1,1,9,1,1,3008539
1,1,1,4,42,2,1,3008547
0,0,1,1,3,3,1,3008554
1,0,1,1,8,1,1,3008562
0,1,1,1,10,3,1,3008620
1,0,1,1,7,1,1,3008653
0,0,1,2,9,2,1,3008695
0,0,1,1,6,3,1,3008703
0,0,1,4,22,1,1,3008737
1,0,2,1,5,3,1,3008794
1,0,1,1,8,1,1,3008869
1,1,1,4,28,2,0,3008901
1,0,1,1,10,1,1,3008919
1,1,1,1,9,3,1,3008927
0,1,1,3,24,1,1,3008950
1,0,1,2,11,3,0,3008976
0,1,1,1,1,3,1,3009008
1,0,1,1,10,2,0,3009024
1,0,1,3,12,2,1,3009040
0,0,1,3,15,6,1,3009107
1,0,1,1,9,1,0,3009131
1,0,1,1,11,3,1,3009230
1,0,2,1,8,1,1,3009255
0,0,1,1,7,3,1,3009297
1,0,1,1,7,1,1,3009453
0,1,1,1,3,1,1,3009545
1,0,1,1,8,2,1,3009602
0,0,1,3,13,3,1,3009677
1,1,1,4,25,6,1,3009693
0,1,1,4,19,2,1,3009750
1,1,1,3,25,3,1,3009818
0,1,1,8,52,5,1,3009875
0,0,1,2,13,3,1,3009883
1,0,1,1,5,3,1,3009917
1,0,1,1,6,1,1,3009982
1,0,1,1,9,1,1,3010014
1,0,1,1,4,1,1,3010022
1,0,1,4,16,5,1,3010071
1,0,1,1,8,1,0,3010121
1,0,1,1,11,1,1,3010154
1,0,1,1,9,3,1,3010188
1,1,1,1,9,2,1,3010246
1,0,1,1,6,1,1,3010253
1,0,1,1,8,4,1,3010329
1,1,1,1,3,3,1,3010337
1,0,1,1,5,1,1,3010345
1,1,1,2,18,1,1,3010402
0,1,1,5,31,3,1,3010410
0,1,1,3,11,1,1,3010436
0,1,1,3,11,1,1,3010451
0,1,1,3,11,1,1,3010469
0,1,1,8,55,3,1,3010477
0,0,1,3,17,1,1,3010493
0,1,1,4,23,3,1,3010527
0,1,1,4,30,3,1,3010568
1,0,1,2,13,4,1,3010584
1,1,1,4,30,3,0,3010659
1,0,1,1,13,2,1,3010683
1,1,1,2,16,10,1,3010725
1,1,1,1,6,2,0,3010766
0,1,1,1,16,2,1,3010790
0,1,1,2,12,2,1,3010840
1,1,1,2,9,5,1,3010931
0,0,1,2,11,1,1,3011038
1,0,1,1,9,4,1,3011046
1,0,1,2,9,1,1,3011061
1,0,1,1,7,2,1,3011079
0,0,1,1,8,1,1,3011103
1,0,1,3,18,4,1,3011111
1,0,1,1,7,2,1,3011145
0,0,1,1,9,1,1,3011152
0,0,1,1,5,6,1,3011202
0,0,1,3,12,1,1,3011210
0,1,1,1,1,3,1,3011236
1,0,1,1,7,1,1,3011277
0,1,1,2,19,13,1,3011285
1,0,1,1,6,1,1,3011368
0,0,1,2,9,2,1,3011376
0,1,1,3,15,1,1,3011400
0,0,1,2,13,1,1,3011418
0,1,1,4,23,2,1,3011442
0,1,1,1,6,4,1,3011459
1,1,1,7,43,1,1,3011483
1,1,1,1,5,2,1,3011509
0,1,1,2,14,2,1,3011517
1,0,1,3,25,1,1,3011525
1,0,1,1,12,1,1,3011558
0,1,1,4,26,1,1,3011582
0,1,1,1,8,1,1,3011616
1,1,1,3,26,2,1,3011624
1,1,1,3,23,1,1,3011632
0,1,1,3,18,1,1,3011657
1,0,1,2,12,2,1,3011707
0,1,1,1,11,3,1,3011848
0,1,1,2,13,1,1,3011889
1,0,1,3,16,2,1,3012119
0,1,1,1,5,3,1,3012127
0,0,1,1,10,1,0,3012168
0,1,1,1,17,1,0,3012218
1,0,1,2,10,7,1,3012234
1,0,1,1,9,3,1,3012242
0,0,1,1,12,3,1,3012259
1,1,1,3,15,3,1,3012283
1,1,1,4,22,1,1,3012309
1,0,1,1,9,3,1,3012341
1,0,1,1,7,1,1,3012366
0,1,1,3,14,4,1,3012374
0,1,1,2,12,1,1,3012390
1,1,1,1,6,4,1,3012408
1,0,1,1,3,6,1,3012457
1,0,1,1,8,3,1,3012499
1,0,1,1,9,3,1,3012507
1,0,1,1,10,1,1,3012564
0,0,1,2,11,1,1,3012580
0,0,1,1,11,1,1,3012598
1,0,1,2,12,3,1,3012606
1,1,1,3,19,3,1,3012614
1,0,1,1,6,1,1,3012663
0,1,1,1,8,2,1,3012689
0,0,1,1,7,1,1,3012705
0,1,1,1,8,10,1,3012754
0,0,1,1,15,3,1,3012853
1,1,1,1,8,5,1,3012861
0,1,1,1,1,1,1,3012887
1,1,1,4,28,2,1,3012895
0,0,1,1,10,3,1,3012903
1,0,1,1,9,3,1,3012960
1,0,1,1,7,1,1,3013034
1,1,1,2,4,5,1,3013125
0,0,1,1,8,3,1,3013133
1,1,1,2,23,3,0,3013232
1,1,1,4,28,1,0,3013257
1,0,1,1,8,5,1,3013299
0,0,1,3,20,2,1,3013331
1,1,1,5,28,2,1,3013372
0,0,1,1,9,2,1,3013406
1,0,1,1,8,1,1,3013448
0,0,1,1,7,1,1,3013455
1,0,1,2,10,1,1,3013497
1,1,1,1,8,3,1,3013521
1,0,1,2,13,1,1,3013539
1,1,1,2,13,1,1,3013547
1,1,1,2,22,2,1,3013554
1,1,1,1,10,1,1,3013620
1,0,1,1,10,1,1,3013638
1,0,1,1,8,1,1,3013729
1,1,1,2,11,1,0,3013737
1,1,1,2,12,2,1,3013752
1,0,1,1,8,6,1,3013778
0,0,1,1,6,1,1,3013794
1,0,1,1,6,3,1,3013802
1,1,1,7,48,3,1,3013810
1,1,1,1,7,3,1,3013901
0,0,1,1,7,1,0,3013927
0,1,1,2,9,5,1,3013935
1,0,1,1,8,1,1,3013951
0,1,1,3,22,1,1,3014016
1,1,1,4,32,4,1,3014073
0,1,1,1,4,4,0,3014099
0,1,1,4,27,1,1,3014115
0,1,1,1,6,3,1,3014149
1,0,1,1,6,1,1,3014164
0,0,1,1,8,3,1,3014180
1,0,1,1,8,1,1,3014198
1,1,1,1,6,3,1,3014222
0,1,1,1,12,3,1,3014230
1,1,1,3,27,2,1,3014263
1,1,1,1,7,2,1,3014289
1,0,1,1,8,3,1,3014313
0,1,1,3,19,2,1,3014321
1,1,1,1,9,1,1,3014347
1,1,1,1,7,1,1,3014371
0,1,1,2,13,1,1,3014396
0,0,1,1,8,8,1,3014404
1,0,1,1,4,3,1,3014453
1,1,1,4,39,4,1,3014461
1,1,1,2,14,2,1,3014511
0,0,1,1,8,2,1,3014537
1,1,1,4,19,1,1,3014578
1,1,1,3,21,1,1,3014636
1,0,1,2,13,4,1,3014644
1,0,1,4,26,2,1,3014677
1,1,1,3,21,1,1,3014701
0,1,1,3,18,3,1,3014768
0,0,1,1,5,1,1,3014784
1,1,1,4,22,3,1,3014818
1,0,1,1,8,5,1,3014826
0,0,1,1,4,3,1,3014834
1,0,1,1,6,3,1,3014842
1,0,1,1,6,1,1,3014867
0,0,1,1,6,8,1,3014925
1,0,1,1,6,3,1,3014941
1,0,1,2,11,1,1,3014958
1,1,1,1,9,2,1,3015021
1,1,1,2,9,3,1,3015062
0,1,1,1,5,2,1,3015070
0,0,1,1,10,3,0,3015096
1,0,1,1,6,1,1,3015138
0,1,1,1,7,2,1,3015146
0,1,1,5,21,1,1,3015153
1,0,1,1,10,1,1,3015179
1,1,1,1,8,1,1,3015260
0,1,1,4,20,3,1,3015302
1,0,1,1,7,3,1,3015310
0,1,1,2,11,3,1,3015336
1,0,1,1,5,3,1,3015344
0,0,1,2,10,5,1,3015385
0,0,1,3,17,2,1,3015435
0,1,1,1,8,10,1,3015443
1,0,1,1,7,1,0,3015450
1,0,1,1,8,3,1,3015526
1,0,1,1,7,1,1,3015534
0,1,1,7,68,3,0,3015542
1,1,1,4,30,1,1,3015575
1,0,1,1,5,3,1,3015617
1,0,1,1,6,1,1,3015674
1,0,1,1,9,3,1,3015682
1,1,1,2,19,3,1,3015708
1,1,1,2,16,3,1,3015724
1,1,1,1,6,8,1,3015740
0,1,1,2,8,3,1,3015849
0,1,1,1,11,3,0,3015872
0,1,1,2,8,4,1,3015997
0,0,1,1,8,1,0,3016003
1,0,1,1,8,2,1,3016086
0,1,1,1,7,2,0,3016094
1,0,1,2,11,1,1,3016128
1,0,1,1,6,1,1,3016219
0,0,1,1,6,8,1,3016243
0,0,1,1,10,8,1,3016250
0,1,1,2,10,3,1,3016276
0,1,1,1,11,3,1,3016284
0,0,1,1,13,3,1,3016359
1,0,1,2,10,3,1,3016367
0,0,1,1,9,2,1,3016375
1,1,1,1,11,1,1,3016409
1,1,1,1,16,3,1,3016433
0,0,1,2,10,1,1,3016441
1,0,1,1,8,1,1,3016466
1,0,1,1,7,3,1,3016474
1,1,1,1,6,5,1,3016532
1,0,1,1,8,1,1,3016557
1,0,1,2,12,1,1,3016573
1,0,1,1,6,1,1,3016581
1,1,1,2,9,1,1,3016649
1,0,1,1,4,6,1,3016763
1,0,1,2,14,1,1,3016789
1,0,1,2,11,1,1,3016870
1,1,1,2,16,1,1,3016888
1,1,1,4,35,1,1,3016920
1,1,1,4,32,1,1,3016938
0,0,1,1,11,3,1,3016987
1,1,1,2,14,2,0,3017027
0,1,1,2,16,3,1,3017050
0,1,1,3,21,3,1,3017076
1,1,1,2,12,3,1,3017183
0,1,1,2,8,1,1,3017209
1,0,1,1,9,1,1,3017233
1,0,1,1,7,1,1,3017241
0,1,1,4,30,4,1,3017316
0,1,1,2,19,10,1,3017324
0,1,1,1,1,2,0,3017340
1,0,1,1,5,1,1,3017365
1,0,1,1,7,2,1,3017399
0,1,1,3,19,2,1,3017647
1,0,1,1,10,1,1,3017688
0,1,1,2,22,5,1,3017696
1,0,1,1,8,1,1,3017704
0,1,1,1,6,6,1,3017712
0,1,1,2,10,3,1,3017779
1,0,1,1,9,2,1,3017787
1,0,1,2,10,3,1,3017795
1,1,1,2,8,3,1,3017811
0,1,1,2,15,2,1,3017837
1,0,1,1,7,3,1,3017845
0,0,1,1,8,1,1,3017860
1,1,1,2,14,1,1,3017894
1,1,1,6,24,2,1,3017902
1,0,1,1,9,2,1,3017910
0,0,1,3,13,3,1,3017936
1,1,1,3,12,3,1,3017951
1,1,1,1,10,3,1,3017977
1,0,1,1,7,1,1,3017993
0,0,1,1,8,2,0,3018025
1,0,1,1,6,1,1,3018082
0,1,1,3,21,2,1,3018116
1,0,1,1,5,1,1,3018181
0,0,1,1,13,1,1,3018207
0,0,1,6,31,3,1,3018256
1,0,1,6,45,1,1,3018363
1,1,1,4,36,3,1,3018454
1,1,1,2,8,3,1,3018520
0,1,1,2,8,7,1,3018553
1,0,1,1,8,1,1,3018561
1,0,1,1,7,3,1,3018579
1,0,1,1,9,3,1,3018587
1,0,1,1,8,1,1,3018629
1,0,1,1,10,1,1,3018637
0,0,1,1,8,2,1,3018652
1,0,1,1,8,3,1,3018661
1,0,1,1,7,3,1,3018736
0,0,1,2,15,6,1,3018843
1,0,1,1,4,2,1,3018868
1,1,1,1,9,3,1,3018884
0,1,1,1,6,1,1,3018926
1,0,1,1,7,1,1,3018983
0,0,1,1,7,1,1,3019049
1,0,1,2,11,3,1,3019064
1,0,1,1,8,1,1,3019098
1,1,1,4,20,2,1,3019130
0,1,1,2,17,2,0,3019148
1,1,1,1,5,5,1,3019155
1,1,1,3,21,2,0,3019171
1,1,1,4,34,1,1,3019189
0,1,1,4,20,1,1,3019197
1,0,1,5,9,4,1,3019205
1,0,1,2,12,5,1,3019213
1,0,1,1,11,2,1,3019221
1,1,1,4,27,1,1,3019288
0,1,1,4,30,1,1,3019304
0,0,1,1,10,1,1,3019312
1,0,1,1,6,2,1,3019338
0,0,1,1,6,2,1,3019346
0,0,1,2,9,1,1,3019445
0,1,1,2,10,7,1,3019452
0,0,1,1,16,3,1,3019510
0,0,1,2,9,3,1,3019536
1,1,1,1,10,3,1,3019585
1,0,1,1,12,1,1,3019593
1,1,1,2,9,1,1,3019635
0,0,1,1,8,3,1,3019668
1,0,1,1,10,6,1,3019734
1,0,1,1,5,2,1,3019759
1,0,1,2,11,1,1,3019866
0,1,1,1,7,3,1,3019932
0,0,1,1,12,3,1,3019973
0,0,1,1,9,8,1,3019999
0,1,1,1,5,1,1,3020013
0,0,1,1,5,3,1,3020047
1,0,1,4,16,1,1,3020054
1,0,1,1,7,3,1,3020112
0,1,1,1,7,3,0,3020138
0,0,1,2,9,3,1,3020161
1,1,1,1,2,1,1,3020187
0,0,1,1,8,1,1,3020237
0,0,1,1,8,1,1,3020278
1,0,1,1,7,1,1,3020336
1,0,1,1,8,3,1,3020369
0,0,1,2,17,1,0,3020419
0,1,1,2,14,3,0,3020435
0,1,1,2,14,3,1,3020468
